,antecedents,consequents,support,confidence,lift
440,"frozenset({'lose', 'jng'})","frozenset({'Blue', 'no_fb'})",0.030873208975398757,0.3704484632227719,0.9918309649936004
446,"frozenset({'jng', 'Blue'})","frozenset({'win', 'no_fb'})",0.028636117869694513,0.34363341443633416,0.991381663611902
156,"frozenset({'top', 'fb'})",frozenset({'Blue'}),0.012429034874290349,0.4950201884253028,0.9900403768506056
138,"frozenset({'Thresh', 'sup'})",frozenset({'Blue'}),0.010360908353609083,0.4948353776630084,0.9896707553260168
10,frozenset({'Thresh'}),frozenset({'Blue'}),0.010381184103811841,0.4946859903381643,0.9893719806763286
485,"frozenset({'bot', ""Kai'Sa"", 'no_fb'})",frozenset({'Red'}),0.011746417950797512,0.494452347083926,0.988904694167852
218,"frozenset({'bot', ""Kai'Sa""})",frozenset({'Red'}),0.014706677480400108,0.4944330833901386,0.9888661667802772
78,frozenset({'Thresh'}),frozenset({'lose'}),0.010374425520410922,0.4943639291465379,0.9886476759998073
472,"frozenset({'Blue', 'sup', 'no_fb'})",frozenset({'win'}),0.03208299540416329,0.494067443796836,0.9882150347984406
221,"frozenset({'no_fb', ""Kai'Sa""})",frozenset({'Red'}),0.011753176534198433,0.4940340909090909,0.9880681818181818
34,"frozenset({""Kai'Sa""})",frozenset({'Red'}),0.014726953230602866,0.49399229199727956,0.9879845839945591
333,"frozenset({'Thresh', 'sup'})",frozenset({'lose'}),0.010333874020005407,0.4935442220787605,0.9870083948148758
462,"frozenset({'top', 'Blue', 'no_fb'})",frozenset({'lose'}),0.034941876182752095,0.49280335525688684,0.9855267813344278
271,"frozenset({'sup', 'fb'})",frozenset({'Red'}),0.01784941876182752,0.4924482565728137,0.9848965131456274
57,frozenset({'fb'}),frozenset({'Red'}),0.12270208164368748,0.49237904100672597,0.9847580820134519
190,"frozenset({'no_fb', 'team'})",frozenset({'Blue'}),0.04099080832657475,0.4915707570108607,0.9831415140217215
274,"frozenset({'fb', 'team'})",frozenset({'Red'}),0.040936739659367394,0.49155981171887675,0.9831196234377535
40,frozenset({'Lee Sin'}),frozenset({'no_fb'}),0.014456609894566099,0.7365702479338844,0.9810504634550764
267,"frozenset({'jng', 'fb'})",frozenset({'Red'}),0.022931873479318736,0.49045967042497834,0.9809193408499567
270,"frozenset({'fb', 'mid'})",frozenset({'Red'}),0.013280616382806164,0.49002493765586036,0.9800498753117207
259,"frozenset({'bot', 'fb'})",frozenset({'Red'}),0.01502433090024331,0.4892165492957747,0.9784330985915494
499,"frozenset({'bot', ""Kai'Sa"", 'no_fb'})",frozenset({'win'}),0.011618004866180049,0.4890469416785206,0.978173216140183
196,"frozenset({'Blue', 'no_fb'})",frozenset({'win'}),0.1825155447418221,0.4886633009427646,0.9774058724347939
197,frozenset({'win'}),"frozenset({'Blue', 'no_fb'})",0.1825155447418221,0.36506069700164917,0.9774058724347939
236,"frozenset({'no_fb', ""Kai'Sa""})",frozenset({'win'}),0.011624763449580968,0.4886363636363636,0.9773519934522448
456,"frozenset({'Blue', 'sup'})","frozenset({'lose', 'no_fb'})",0.032853473911868075,0.3942416869424169,0.9754188823116285
563,"frozenset({'Red', 'win', 'sup'})",frozenset({'no_fb'}),0.028838875371722087,0.7314021254713746,0.9741669530889437
